frame_idx,timestamp,peak_hz,motion_ratio,signal_power,n_iq
0,2025-11-28T18:08:51,0.000076,0.993597,18.410858,131072
1,2025-11-28T18:08:51,0.000076,0.993656,18.358873,131072
2,2025-11-28T18:08:51,0.000076,0.993677,18.255247,131072
3,2025-11-28T18:08:51,0.000076,0.993574,18.339935,131072
4,2025-11-28T18:08:51,0.000076,0.993233,19.375328,131072
5,2025-11-28T18:08:51,0.000076,0.993664,18.413998,131072
6,2025-11-28T18:08:51,0.000076,0.993562,18.502811,131072
7,2025-11-28T18:08:52,0.000076,0.993576,18.419781,131072
8,2025-11-28T18:08:52,0.000076,0.993598,18.342417,131072
9,2025-11-28T18:08:52,0.000076,0.993573,18.336344,131072
10,2025-11-28T18:08:52,0.000076,0.993662,18.371969,131072
11,2025-11-28T18:08:52,0.000076,0.993596,18.340225,131072
12,2025-11-28T18:08:52,0.000076,0.993427,18.553852,131072
13,2025-11-28T18:08:52,0.000076,0.993659,18.363293,131072
14,2025-11-28T18:08:52,0.000076,0.993610,18.394938,131072
15,2025-11-28T18:08:52,0.000076,0.993639,18.323807,131072
16,2025-11-28T18:08:52,0.000076,0.993620,18.422682,131072
17,2025-11-28T18:08:52,0.000076,0.993680,18.220640,131072
18,2025-11-28T18:08:53,0.000076,0.993634,18.477558,131072
19,2025-11-28T18:08:53,0.000076,0.993618,18.305773,131072
20,2025-11-28T18:08:53,0.000076,0.993652,18.384632,131072
21,2025-11-28T18:08:53,0.000076,0.993628,18.300943,131072
22,2025-11-28T18:08:53,0.000076,0.993659,18.539490,131072
23,2025-11-28T18:08:53,0.000076,0.993629,18.520052,131072
24,2025-11-28T18:08:53,0.000076,0.993564,18.522980,131072
25,2025-11-28T18:08:53,0.000076,0.993642,18.425402,131072
26,2025-11-28T18:08:53,0.000076,0.993612,18.490057,131072
27,2025-11-28T18:08:53,0.000076,0.993666,18.270817,131072
28,2025-11-28T18:08:54,0.000076,0.993595,18.260950,131072
29,2025-11-28T18:08:54,0.000076,0.993652,18.459774,131072
30,2025-11-28T18:08:54,0.000076,0.993632,18.351814,131072
31,2025-11-28T18:08:54,0.000076,0.993592,18.420305,131072
32,2025-11-28T18:08:54,0.000076,0.993580,18.253622,131072
33,2025-11-28T18:08:54,0.000076,0.993667,18.201914,131072
34,2025-11-28T18:08:54,0.000076,0.993512,18.668812,131072
35,2025-11-28T18:08:54,0.000076,0.993655,18.337721,131072
36,2025-11-28T18:08:54,0.000076,0.993597,18.447769,131072
37,2025-11-28T18:08:54,0.000076,0.993640,18.363775,131072
38,2025-11-28T18:08:54,0.000076,0.993628,18.300028,131072
39,2025-11-28T18:08:55,0.000076,0.993668,18.332083,131072
40,2025-11-28T18:08:55,0.000076,0.993615,18.426157,131072
41,2025-11-28T18:08:55,0.000076,0.993646,18.372620,131072
42,2025-11-28T18:08:55,0.000076,0.993651,18.396055,131072
43,2025-11-28T18:08:55,0.000076,0.993641,18.432949,131072
44,2025-11-28T18:08:55,0.000076,0.993119,18.851082,131072
45,2025-11-28T18:08:55,0.000076,0.993656,18.251804,131072
46,2025-11-28T18:08:55,0.000076,0.993687,18.375540,131072
47,2025-11-28T18:08:55,0.000076,0.993685,18.266666,131072
48,2025-11-28T18:08:55,0.000076,0.993616,18.336826,131072
49,2025-11-28T18:08:56,0.000076,0.993597,18.203585,131072
50,2025-11-28T18:08:56,0.000076,0.993619,18.322947,131072
51,2025-11-28T18:08:56,0.000076,0.993629,18.401937,131072
52,2025-11-28T18:08:56,0.000076,0.993111,18.952049,131072
53,2025-11-28T18:08:56,0.000076,0.993611,18.380047,131072
54,2025-11-28T18:08:56,0.000076,0.993519,18.512554,131072
55,2025-11-28T18:08:56,0.000076,0.993633,18.223907,131072
56,2025-11-28T18:08:56,0.000076,0.993630,18.243118,131072
57,2025-11-28T18:08:56,0.000076,0.993595,18.406748,131072
58,2025-11-28T18:08:56,0.000076,0.993635,18.413961,131072
59,2025-11-28T18:08:56,0.000076,0.993647,18.398321,131072
60,2025-11-28T18:08:57,0.000076,0.993638,18.471872,131072
61,2025-11-28T18:08:57,0.000076,0.993664,18.492477,131072
62,2025-11-28T18:08:57,0.000076,0.993679,18.253963,131072
63,2025-11-28T18:08:57,0.000076,0.993590,18.324608,131072
64,2025-11-28T18:08:57,0.000076,0.993617,18.377150,131072
65,2025-11-28T18:08:57,0.000076,0.993605,18.295746,131072
66,2025-11-28T18:08:57,0.000076,0.993613,18.454124,131072
67,2025-11-28T18:08:57,0.000076,0.993238,18.843372,131072
68,2025-11-28T18:08:57,0.000076,0.993636,18.331760,131072
69,2025-11-28T18:08:57,0.000076,0.993656,18.288467,131072
70,2025-11-28T18:08:58,0.000076,0.993693,18.208881,131072
71,2025-11-28T18:08:58,0.000076,0.993653,18.263424,131072
72,2025-11-28T18:08:58,0.000076,0.993645,18.347687,131072
73,2025-11-28T18:08:58,0.000076,0.993650,18.345608,131072
74,2025-11-28T18:08:58,0.000076,0.993602,18.372833,131072
75,2025-11-28T18:08:58,0.000076,0.993681,18.202835,131072
76,2025-11-28T18:08:58,0.000076,0.993600,18.299274,131072
77,2025-11-28T18:08:58,0.000076,0.993676,18.267601,131072
78,2025-11-28T18:08:58,0.000076,0.993622,18.293282,131072
79,2025-11-28T18:08:58,0.000076,0.993561,18.382370,131072
80,2025-11-28T18:08:59,0.000076,0.993622,18.319908,131072
81,2025-11-28T18:08:59,0.000076,0.993657,18.285831,131072
82,2025-11-28T18:08:59,0.000076,0.993636,18.609529,131072
83,2025-11-28T18:08:59,0.000076,0.993627,18.241970,131072
84,2025-11-28T18:08:59,0.000076,0.993623,18.283665,131072
85,2025-11-28T18:08:59,0.000076,0.993678,18.213837,131072
86,2025-11-28T18:08:59,0.000076,0.993691,18.243584,131072
87,2025-11-28T18:08:59,0.000076,0.993652,18.276501,131072
88,2025-11-28T18:08:59,0.000076,0.993637,18.251730,131072
89,2025-11-28T18:08:59,0.000076,0.993620,18.329590,131072
90,2025-11-28T18:08:59,0.000076,0.993689,18.335800,131072
91,2025-11-28T18:09:00,0.000076,0.993621,18.343887,131072
92,2025-11-28T18:09:00,0.000076,0.993692,18.375776,131072
93,2025-11-28T18:09:00,0.000076,0.993618,18.225128,131072
94,2025-11-28T18:09:00,0.000076,0.993605,18.335360,131072
95,2025-11-28T18:09:00,0.000076,0.993675,18.323683,131072
96,2025-11-28T18:09:00,0.000076,0.993606,18.235764,131072
97,2025-11-28T18:09:00,0.000076,0.993625,18.311018,131072
98,2025-11-28T18:09:00,0.000076,0.993613,18.255943,131072
99,2025-11-28T18:09:00,0.000076,0.993583,18.457226,131072
